iter	Passed	Remaining
0	151	151352
1	153	76697
2	155	51734
3	157	39306
4	159	31819
5	162	26842
6	164	23270
7	165	20563
8	167	18473
9	169	16800
10	171	15421
11	173	14288
12	175	13338
13	178	12553
14	180	11833
15	182	11221
16	184	10674
17	187	10228
18	189	9785
19	191	9385
20	193	9012
21	195	8689
22	197	8400
23	199	8127
24	201	7868
25	204	7654
26	206	7434
27	208	7236
28	210	7047
29	212	6876
30	214	6714
31	216	6556
32	219	6419
33	221	6285
34	223	6154
35	225	6027
36	226	5905
37	228	5792
38	230	5679
39	232	5571
40	234	5480
41	236	5394
42	238	5310
43	240	5229
44	242	5150
45	244	5069
46	246	4994
47	248	4927
48	250	4862
49	252	4795
50	254	4731
51	256	4670
52	258	4612
53	260	4560
54	262	4510
55	264	4464
56	267	4422
57	269	4379
58	271	4331
59	273	4292
60	276	4252
61	278	4212
62	280	4172
63	282	4130
64	284	4088
65	285	4046
66	287	4009
67	289	3961
68	290	3925
69	293	3895
70	295	3861
71	297	3831
72	299	3799
73	301	3767
74	302	3735
75	304	3706
76	306	3679
77	309	3657
78	311	3631
79	313	3604
80	315	3578
81	317	3551
82	319	3527
83	321	3503
84	322	3476
85	325	3455
86	326	3426
87	328	3404
88	330	3381
89	332	3359
90	334	3337
91	336	3318
92	338	3299
93	340	3280
94	342	3259
95	344	3239
96	346	3221
97	347	3199
98	349	3177
99	351	3162
100	353	3148
101	354	3123
102	356	3107
103	358	3090
104	360	3073
105	362	3058
106	365	3047
107	367	3034
108	369	3023
109	372	3012
110	374	2997
111	376	2983
112	378	2970
113	380	2958
114	382	2946
115	384	2930
116	386	2914
117	387	2896
118	388	2877
119	389	2859
120	391	2843
121	393	2829
122	393	2809
123	395	2794
124	397	2780
125	398	2765
126	400	2752
127	401	2734
128	402	2720
129	404	2705
130	405	2692
131	407	2678
132	408	2665
133	410	2652
134	412	2641
135	413	2629
136	415	2616
137	416	2601
138	417	2588
139	419	2575
140	420	2564
141	422	2551
142	423	2539
143	425	2528
144	427	2518
145	428	2507
146	430	2495
147	431	2484
148	432	2472
149	434	2462
150	436	2452
151	437	2441
152	439	2431
153	440	2421
154	442	2411
155	444	2402
156	445	2392
157	447	2382
158	448	2374
159	450	2365
160	452	2356
161	454	2348
162	455	2341
163	457	2332
164	459	2323
165	460	2314
166	462	2306
167	464	2299
168	465	2290
169	467	2281
170	469	2273
171	470	2266
172	472	2258
173	474	2250
174	475	2241
175	476	2232
176	478	2224
177	480	2217
178	481	2209
179	483	2202
180	484	2192
181	486	2185
182	487	2178
183	489	2171
184	491	2165
185	493	2159
186	495	2153
187	497	2148
188	499	2143
189	501	2137
190	503	2131
191	504	2125
192	506	2119
193	508	2113
194	510	2107
195	512	2102
196	514	2097
197	515	2089
198	517	2082
199	519	2076
200	520	2070
201	522	2063
202	523	2057
203	525	2050
204	527	2044
205	528	2038
206	530	2032
207	532	2026
208	533	2019
209	535	2014
210	537	2008
211	538	2002
212	540	1996
213	541	1990
214	543	1984
215	545	1978
216	546	1972
217	547	1965
218	549	1959
219	550	1952
220	552	1946
221	553	1939
222	554	1933
223	556	1926
224	557	1921
225	559	1915
226	560	1909
227	562	1903
228	563	1897
229	564	1891
230	566	1885
231	567	1879
232	569	1874
233	570	1868
234	572	1863
235	573	1857
236	575	1852
237	576	1846
238	578	1840
239	579	1835
240	580	1829
241	582	1823
242	583	1818
243	585	1813
244	586	1807
245	588	1802
246	589	1797
247	590	1791
248	592	1786
249	593	1781
250	595	1776
251	596	1770
252	598	1765
253	599	1760
254	601	1756
255	602	1751
256	604	1746
257	605	1741
258	607	1736
259	608	1731
260	609	1726
261	611	1721
262	612	1716
263	614	1712
264	615	1707
265	617	1703
266	618	1698
267	619	1693
268	621	1688
269	622	1683
270	624	1679
271	625	1674
272	627	1670
273	628	1665
274	630	1661
275	631	1657
276	633	1652
277	634	1648
278	636	1643
279	637	1639
280	638	1634
281	640	1630
282	641	1626
283	643	1621
284	644	1617
285	646	1612
286	647	1608
287	649	1605
288	650	1600
289	652	1597
290	654	1595
291	656	1591
292	658	1587
293	659	1583
294	660	1579
295	662	1575
296	663	1571
297	665	1567
298	666	1563
299	668	1559
300	669	1554
301	671	1550
302	672	1546
303	673	1542
304	675	1538
305	676	1534
306	678	1530
307	679	1526
308	681	1523
309	683	1520
310	684	1516
311	686	1513
312	687	1509
313	688	1504
314	690	1501
315	691	1497
316	693	1493
317	694	1489
318	696	1486
319	697	1482
320	698	1478
321	700	1474
322	701	1470
323	702	1466
324	704	1462
325	705	1458
326	706	1455
327	708	1451
328	710	1448
329	711	1444
330	712	1440
331	714	1437
332	715	1433
333	717	1429
334	718	1426
335	720	1423
336	721	1419
337	722	1415
338	724	1412
339	725	1409
340	727	1405
341	728	1402
342	730	1398
343	731	1395
344	732	1391
345	734	1387
346	735	1384
347	737	1381
348	738	1378
349	740	1375
350	742	1372
351	744	1370
352	745	1367
353	747	1363
354	748	1360
355	750	1357
356	751	1353
357	753	1350
358	754	1347
359	755	1343
360	757	1340
361	758	1337
362	760	1334
363	761	1330
364	763	1327
365	764	1324
366	765	1321
367	767	1318
368	769	1315
369	770	1311
370	771	1308
371	773	1305
372	774	1302
373	776	1299
374	777	1296
375	779	1292
376	780	1289
377	782	1287
378	783	1283
379	784	1280
380	786	1277
381	787	1274
382	789	1271
383	790	1268
384	791	1265
385	793	1261
386	794	1258
387	796	1256
388	797	1252
389	799	1249
390	800	1246
391	801	1243
392	803	1240
393	804	1237
394	806	1234
395	807	1231
396	808	1228
397	810	1225
398	811	1222
399	813	1219
400	814	1216
401	816	1213
402	817	1211
403	818	1208
404	820	1205
405	821	1202
406	823	1199
407	825	1197
408	826	1194
409	827	1191
410	829	1188
411	830	1185
412	832	1182
413	833	1179
414	834	1176
415	836	1173
416	837	1171
417	839	1168
418	840	1165
419	842	1163
420	843	1160
421	845	1157
422	846	1154
423	847	1151
424	849	1148
425	850	1146
426	852	1143
427	853	1140
428	854	1137
429	856	1135
430	857	1132
431	859	1129
432	860	1126
433	862	1124
434	863	1121
435	864	1118
436	866	1116
437	868	1114
438	870	1111
439	871	1109
440	873	1106
441	874	1104
442	876	1101
443	877	1099
444	879	1096
445	880	1094
446	882	1091
