iter	Passed	Remaining
0	103	103156
1	105	52578
2	107	35598
3	109	27262
4	111	22154
5	113	18775
6	116	16596
7	119	14799
8	121	13347
9	123	12231
10	125	11324
11	128	10541
12	129	9867
13	132	9301
14	134	8842
15	136	8407
16	138	8022
17	141	7697
18	143	7392
19	144	7098
20	146	6829
21	148	6616
22	151	6414
23	152	6216
24	155	6051
25	157	5894
26	158	5727
27	160	5578
28	162	5449
29	164	5319
30	166	5197
31	168	5097
32	170	4997
33	172	4903
34	174	4815
35	176	4724
36	178	4652
37	180	4568
38	182	4491
39	184	4433
40	186	4366
41	188	4300
42	190	4238
43	192	4183
44	194	4127
45	196	4066
46	198	4023
47	200	3982
48	202	3931
49	204	3886
50	206	3844
51	208	3805
52	210	3759
53	212	3719
54	215	3701
55	217	3666
56	219	3624
57	221	3593
58	223	3563
59	225	3532
60	227	3498
61	229	3476
62	231	3447
63	233	3420
64	235	3390
65	237	3366
66	239	3339
67	241	3311
68	243	3289
69	246	3270
70	248	3245
71	249	3221
72	251	3197
73	253	3174
74	255	3150
75	257	3125
76	259	3110
77	261	3089
78	263	3067
79	265	3049
80	266	3027
81	268	3007
82	269	2979
83	272	2966
84	274	2950
85	276	2933
86	277	2916
87	279	2897
88	282	2887
89	284	2874
90	286	2860
91	288	2846
92	290	2834
93	292	2818
94	294	2804
95	296	2793
96	298	2780
97	300	2766
98	302	2754
99	304	2744
100	306	2732
101	308	2719
102	310	2706
103	312	2694
104	314	2683
105	316	2670
106	319	2664
107	321	2654
108	323	2641
109	324	2629
110	327	2622
111	329	2613
112	331	2600
113	333	2595
114	335	2584
115	337	2573
116	339	2558
117	341	2549
118	342	2539
119	344	2527
120	346	2515
121	348	2505
122	350	2496
123	352	2488
124	353	2477
125	356	2472
126	358	2462
127	360	2453
128	363	2452
129	365	2444
130	367	2436
131	369	2427
132	370	2418
133	373	2410
134	375	2406
135	378	2406
136	381	2402
137	383	2393
138	384	2383
139	386	2376
140	389	2370
141	390	2359
142	392	2352
143	394	2345
144	396	2336
145	397	2327
146	399	2319
147	401	2313
148	403	2305
149	405	2295
150	407	2290
151	409	2283
152	411	2275
153	412	2267
154	414	2260
155	416	2254
156	418	2245
157	419	2237
158	421	2230
159	423	2225
160	425	2216
161	427	2210
162	429	2204
163	431	2198
164	433	2191
165	434	2184
166	436	2178
167	439	2174
168	441	2168
169	443	2163
170	445	2158
171	447	2154
172	449	2148
173	451	2144
174	453	2138
175	455	2132
176	457	2125
177	459	2120
178	461	2115
179	463	2110
180	465	2104
181	467	2102
182	469	2098
183	471	2092
184	473	2086
185	475	2082
186	477	2077
187	479	2072
188	482	2069
189	484	2065
190	486	2061
191	488	2057
192	490	2052
193	492	2047
194	494	2042
195	496	2038
196	498	2033
197	500	2028
198	502	2023
199	504	2018
200	506	2012
201	508	2007
202	509	2001
203	511	1996
204	514	1994
205	516	1990
206	517	1983
207	519	1979
208	521	1975
209	523	1969
210	525	1963
211	527	1960
212	529	1957
213	531	1953
214	533	1947
215	535	1943
216	537	1938
217	538	1932
218	540	1927
219	542	1923
220	544	1919
221	546	1915
222	548	1911
223	550	1906
224	552	1901
225	554	1897
226	556	1893
227	558	1891
228	560	1887
229	562	1883
230	564	1879
231	566	1875
232	568	1870
233	570	1866
234	572	1862
235	574	1859
236	576	1855
237	578	1851
238	580	1846
239	581	1842
240	583	1838
241	585	1833
242	587	1830
243	589	1827
244	591	1823
245	593	1819
246	595	1815
247	597	1811
248	599	1807
249	601	1803
250	603	1800
251	605	1796
252	607	1793
253	609	1789
254	611	1786
255	613	1781
256	614	1776
257	616	1773
258	619	1771
259	621	1768
260	623	1764
261	624	1760
262	626	1756
263	628	1751
264	630	1747
265	632	1745
266	634	1742
267	636	1738
268	638	1734
269	639	1730
270	641	1726
271	643	1721
272	644	1717
273	647	1714
274	649	1711
275	650	1707
276	652	1704
277	654	1699
278	656	1695
279	658	1692
280	659	1687
281	661	1684
282	663	1681
283	665	1677
284	667	1675
285	669	1672
286	671	1668
287	673	1664
288	675	1660
289	677	1658
290	679	1655
291	681	1651
292	683	1648
293	685	1645
294	686	1640
295	688	1637
296	690	1633
297	692	1631
298	694	1627
299	696	1625
300	698	1622
301	700	1618
302	702	1615
303	704	1612
304	706	1609
305	708	1606
306	710	1603
307	712	1600
308	714	1596
309	716	1593
310	718	1591
311	720	1588
312	722	1584
313	724	1581
314	726	1579
315	727	1575
316	729	1571
317	731	1569
318	733	1565
319	735	1562
320	737	1559
321	739	1557
322	741	1553
323	743	1550
324	745	1547
325	747	1544
326	749	1541
327	751	1539
328	753	1537
329	756	1534
330	757	1531
331	759	1528
332	761	1525
333	763	1522
334	765	1519
335	767	1517
336	769	1514
337	771	1511
338	773	1508
339	775	1506
340	777	1502
341	779	1499
342	781	1496
343	783	1494
344	785	1491
345	787	1488
346	789	1486
347	791	1483
348	793	1480
349	796	1478
350	798	1475
351	800	1472
352	802	1470
353	804	1467
354	806	1464
355	808	1461
356	809	1458
357	812	1456
358	814	1453
359	816	1451
360	817	1447
361	819	1444
362	821	1441
363	823	1438
364	825	1435
365	827	1432
366	829	1430
367	831	1427
368	832	1424
369	834	1420
370	836	1418
371	838	1415
372	839	1411
373	842	1409
374	844	1406
375	845	1403
376	847	1400
377	848	1397
378	851	1394
379	852	1391
380	854	1388
381	856	1386
382	858	1382
383	860	1380
384	862	1377
385	864	1374
386	865	1371
387	867	1368
388	868	1364
389	870	1362
390	872	1359
391	874	1356
392	876	1353
393	877	1349
394	879	1346
395	880	1343
396	882	1339
397	883	1336
398	885	1334
399	887	1331
400	889	1328
401	891	1326
402	893	1323
403	895	1320
404	896	1317
405	898	1314
406	900	1312
407	902	1309
408	904	1307
409	906	1304
410	908	1301
411	910	1299
412	912	1296
413	913	1293
414	916	1291
415	918	1289
416	920	1286
417	922	1283
418	923	1281
419	925	1278
420	927	1275
421	929	1273
422	931	1271
423	933	1268
424	935	1265
425	937	1263
426	939	1260
427	941	1257
428	943	1255
429	944	1252
430	946	1250
431	948	1247
432	950	1244
433	952	1241
434	954	1239
435	955	1236
436	957	1233
437	959	1230
438	961	1228
439	963	1226
440	965	1223
441	967	1220
442	968	1217
443	970	1215
444	972	1212
445	973	1209
446	975	1207
447	977	1205
448	980	1202
449	982	1200
450	984	1197
451	986	1196
452	988	1193
453	990	1191
454	992	1189
455	994	1186
456	996	1183
457	998	1181
458	999	1178
459	1001	1176
460	1003	1173
461	1005	1170
462	1007	1168
463	1009	1166
464	1011	1163
465	1012	1160
466	1014	1157
467	1016	1155
468	1018	1152
469	1019	1150
470	1022	1148
471	1023	1145
472	1025	1142
473	1027	1140
474	1029	1137
475	1031	1135
476	1032	1132
477	1034	1130
478	1037	1128
479	1039	1125
480	1040	1122
481	1042	1120
482	1044	1117
483	1045	1115
484	1047	1112
485	1049	1109
486	1051	1107
487	1053	1105
488	1054	1102
489	1056	1100
490	1058	1097
491	1060	1094
492	1061	1091
493	1063	1089
494	1065	1087
495	1067	1084
496	1069	1082
497	1071	1079
498	1073	1077
499	1075	1075
500	1076	1072
501	1078	1070
502	1080	1067
503	1082	1065
504	1084	1063
505	1087	1061
506	1088	1058
507	1090	1056
508	1092	1053
509	1094	1051
510	1096	1048
511	1097	1046
512	1100	1044
513	1101	1041
514	1103	1039
515	1105	1036
516	1107	1034
517	1109	1031
518	1110	1029
519	1112	1026
520	1114	1024
521	1116	1022
522	1118	1020
523	1120	1017
524	1121	1015
525	1123	1012
526	1125	1010
527	1126	1007
528	1129	1005
529	1131	1003
